"범죄별","발생지역별","시점","범죄발생지역",
"내란의죄","경남","2019 년","-",
"내란의죄","경남","2020 년","-",
"내란의죄","제주","2014 년","-",
"내란의죄","제주","2015 년","-",
"내란의죄","제주","2016 년","-",
"내란의죄","제주","2018 년","-",
"내란의죄","제주","2019 년","-",
"내란의죄","제주","2020 년","-",
"음용수에 관한죄","계","2014 년","17",
"음용수에 관한죄","계","2015 년","22",
"음용수에 관한죄","계","2016 년","31",
"음용수에 관한죄","계","2017 년","21",
"음용수에 관한죄","계","2018 년","17",
"음용수에 관한죄","계","2019 년","16",
"음용수에 관한죄","계","2020 년","25",
"음용수에 관한죄","서울","2014 년","-",
"음용수에 관한죄","서울","2015 년","1",
"음용수에 관한죄","서울","2016 년","7",
"음용수에 관한죄","서울","2017 년","4",
"음용수에 관한죄","서울","2018 년","1",
"음용수에 관한죄","서울","2019 년","3",
"음용수에 관한죄","서울","2020 년","3",
"음용수에 관한죄","부산","2014 년","2",
"음용수에 관한죄","부산","2015 년","-",
"음용수에 관한죄","부산","2016 년","1",
"음용수에 관한죄","부산","2017 년","1",
"음용수에 관한죄","부산","2018 년","-",
"음용수에 관한죄","부산","2019 년","-",
"음용수에 관한죄","부산","2020 년","3",
"음용수에 관한죄","대구","2014 년","-",
"음용수에 관한죄","대구","2015 년","1",
"음용수에 관한죄","대구","2016 년","-",
"음용수에 관한죄","대구","2018 년","-",
"음용수에 관한죄","대구","2019 년","-",
"음용수에 관한죄","대구","2020 년","-",
"음용수에 관한죄","인천","2014 년","-",
"음용수에 관한죄","인천","2015 년","-",
"음용수에 관한죄","인천","2016 년","-",
"음용수에 관한죄","인천","2018 년","2",
"음용수에 관한죄","인천","2019 년","-",
"음용수에 관한죄","인천","2020 년","-",
"음용수에 관한죄","광주","2014 년","-",
"음용수에 관한죄","광주","2015 년","-",
"음용수에 관한죄","광주","2016 년","1",
"음용수에 관한죄","광주","2018 년","-",
"음용수에 관한죄","광주","2019 년","-",
"음용수에 관한죄","광주","2020 년","-",
"음용수에 관한죄","대전","2014 년","-",
"음용수에 관한죄","대전","2015 년","-",
"음용수에 관한죄","대전","2016 년","-",
"음용수에 관한죄","대전","2018 년","1",
"음용수에 관한죄","대전","2019 년","-",
"음용수에 관한죄","대전","2020 년","1",
"음용수에 관한죄","울산","2014 년","1",
"음용수에 관한죄","울산","2015 년","-",
"음용수에 관한죄","울산","2016 년","1",
"음용수에 관한죄","울산","2018 년","-",
"음용수에 관한죄","울산","2019 년","1",
"음용수에 관한죄","울산","2020 년","-",
"음용수에 관한죄","세종","2014 년","2",
"음용수에 관한죄","세종","2015 년","-",
"음용수에 관한죄","세종","2016 년","-",
"음용수에 관한죄","세종","2018 년","-",
"음용수에 관한죄","세종","2019 년","-",
"음용수에 관한죄","세종","2020 년","-",
"음용수에 관한죄","경기","2014 년","2",
"음용수에 관한죄","경기","2015 년","6",
"음용수에 관한죄","경기","2016 년","7",
"음용수에 관한죄","경기","2017 년","5",
"음용수에 관한죄","경기","2018 년","2",
"음용수에 관한죄","경기","2019 년","3",
"음용수에 관한죄","경기","2020 년","4",
"음용수에 관한죄","강원","2014 년","-",
"음용수에 관한죄","강원","2015 년","4",
"음용수에 관한죄","강원","2016 년","2",
"음용수에 관한죄","강원","2017 년","3",
"음용수에 관한죄","강원","2018 년","1",
"음용수에 관한죄","강원","2019 년","1",
"음용수에 관한죄","강원","2020 년","2",
"음용수에 관한죄","충북","2014 년","2",
"음용수에 관한죄","충북","2015 년","3",
"음용수에 관한죄","충북","2016 년","3",
"음용수에 관한죄","충북","2018 년","-",
"음용수에 관한죄","충북","2019 년","-",
"음용수에 관한죄","충북","2020 년","1",
"음용수에 관한죄","충남","2014 년","2",
"음용수에 관한죄","충남","2015 년","2",
"음용수에 관한죄","충남","2016 년","2",
"음용수에 관한죄","충남","2017 년","5",
"음용수에 관한죄","충남","2018 년","2",
"음용수에 관한죄","충남","2019 년","1",
"음용수에 관한죄","충남","2020 년","3",
"음용수에 관한죄","전북","2014 년","1",
"음용수에 관한죄","전북","2015 년","3",
"음용수에 관한죄","전북","2016 년","1",
"음용수에 관한죄","전북","2017 년","1",
"음용수에 관한죄","전북","2018 년","2",
"음용수에 관한죄","전북","2019 년","-",
"음용수에 관한죄","전북","2020 년","-",
"음용수에 관한죄","전남","2014 년","1",
"음용수에 관한죄","전남","2015 년","-",
"음용수에 관한죄","전남","2016 년","2",
"음용수에 관한죄","전남","2017 년","1",
"음용수에 관한죄","전남","2018 년","1",
"음용수에 관한죄","전남","2019 년","1",
"음용수에 관한죄","전남","2020 년","-",
"음용수에 관한죄","경북","2014 년","-",
"음용수에 관한죄","경북","2015 년","1",
"음용수에 관한죄","경북","2016 년","-",
"음용수에 관한죄","경북","2018 년","3",
"음용수에 관한죄","경북","2019 년","1",
"음용수에 관한죄","경북","2020 년","1",
"음용수에 관한죄","경남","2014 년","4",
"음용수에 관한죄","경남","2015 년","1",
"음용수에 관한죄","경남","2016 년","4",
"음용수에 관한죄","경남","2017 년","1",
"음용수에 관한죄","경남","2018 년","2",
"음용수에 관한죄","경남","2019 년","4",
"음용수에 관한죄","경남","2020 년","6",
"음용수에 관한죄","제주","2014 년","-",
"음용수에 관한죄","제주","2015 년","-",
"음용수에 관한죄","제주","2016 년","-",
"음용수에 관한죄","제주","2018 년","-",
"음용수에 관한죄","제주","2019 년","1",
"음용수에 관한죄","제주","2020 년","1",
"일수와 수리에 관한죄","계","2014 년","3",
"일수와 수리에 관한죄","계","2015 년","6",
"일수와 수리에 관한죄","계","2016 년","4",
"일수와 수리에 관한죄","계","2017 년","7",
"일수와 수리에 관한죄","계","2018 년","10",
"일수와 수리에 관한죄","계","2019 년","10",
"일수와 수리에 관한죄","계","2020 년","8",
"일수와 수리에 관한죄","서울","2014 년","-",
"일수와 수리에 관한죄","서울","2015 년","-",
"일수와 수리에 관한죄","서울","2016 년","-",
"일수와 수리에 관한죄","서울","2018 년","-",
"일수와 수리에 관한죄","서울","2019 년","-",
"일수와 수리에 관한죄","서울","2020 년","-",
"일수와 수리에 관한죄","부산","2014 년","-",
"일수와 수리에 관한죄","부산","2015 년","-",
"일수와 수리에 관한죄","부산","2016 년","-",
"일수와 수리에 관한죄","부산","2018 년","-",
"일수와 수리에 관한죄","부산","2019 년","-",
"일수와 수리에 관한죄","부산","2020 년","-",
"일수와 수리에 관한죄","대구","2014 년","-",
"일수와 수리에 관한죄","대구","2015 년","-",
"일수와 수리에 관한죄","대구","2016 년","-",
"일수와 수리에 관한죄","대구","2018 년","-",
"일수와 수리에 관한죄","대구","2019 년","1",
"일수와 수리에 관한죄","대구","2020 년","-",
"일수와 수리에 관한죄","인천","2014 년","-",
"일수와 수리에 관한죄","인천","2015 년","1",
"일수와 수리에 관한죄","인천","2016 년","-",
"일수와 수리에 관한죄","인천","2018 년","-",
"일수와 수리에 관한죄","인천","2019 년","-",
"일수와 수리에 관한죄","인천","2020 년","-",
"일수와 수리에 관한죄","광주","2014 년","-",
"일수와 수리에 관한죄","광주","2015 년","-",
"일수와 수리에 관한죄","광주","2016 년","-",
"일수와 수리에 관한죄","광주","2018 년","1",
"일수와 수리에 관한죄","광주","2019 년","-",
"일수와 수리에 관한죄","광주","2020 년","2",
"일수와 수리에 관한죄","대전","2014 년","-",
"일수와 수리에 관한죄","대전","2015 년","-",
"일수와 수리에 관한죄","대전","2016 년","-",
"일수와 수리에 관한죄","대전","2018 년","-",
"일수와 수리에 관한죄","대전","2019 년","1",
"일수와 수리에 관한죄","대전","2020 년","-",
"일수와 수리에 관한죄","울산","2014 년","-",
"일수와 수리에 관한죄","울산","2015 년","-",
"일수와 수리에 관한죄","울산","2016 년","-",
"일수와 수리에 관한죄","울산","2018 년","-",
"일수와 수리에 관한죄","울산","2019 년","-",
"일수와 수리에 관한죄","울산","2020 년","-",
"일수와 수리에 관한죄","세종","2014 년","-",
"일수와 수리에 관한죄","세종","2015 년","-",
"일수와 수리에 관한죄","세종","2016 년","-",
"일수와 수리에 관한죄","세종","2018 년","-",
"일수와 수리에 관한죄","세종","2019 년","-",
"일수와 수리에 관한죄","세종","2020 년","-",
"일수와 수리에 관한죄","경기","2014 년","2",
"일수와 수리에 관한죄","경기","2015 년","2",
"일수와 수리에 관한죄","경기","2016 년","1",
"일수와 수리에 관한죄","경기","2018 년","-",
"일수와 수리에 관한죄","경기","2019 년","-",
"일수와 수리에 관한죄","경기","2020 년","1",
"일수와 수리에 관한죄","강원","2014 년","-",
"일수와 수리에 관한죄","강원","2015 년","-",
"일수와 수리에 관한죄","강원","2016 년","1",
"일수와 수리에 관한죄","강원","2017 년","1",
"일수와 수리에 관한죄","강원","2018 년","-",
"일수와 수리에 관한죄","강원","2019 년","1",
"일수와 수리에 관한죄","강원","2020 년","1",
"일수와 수리에 관한죄","충북","2014 년","-",
"일수와 수리에 관한죄","충북","2015 년","-",
"일수와 수리에 관한죄","충북","2016 년","-",
"일수와 수리에 관한죄","충북","2017 년","1",
"일수와 수리에 관한죄","충북","2018 년","2",
"일수와 수리에 관한죄","충북","2019 년","1",
"일수와 수리에 관한죄","충북","2020 년","-",
"일수와 수리에 관한죄","충남","2014 년","-",
"일수와 수리에 관한죄","충남","2015 년","-",
"일수와 수리에 관한죄","충남","2016 년","1",
"일수와 수리에 관한죄","충남","2017 년","2",
"일수와 수리에 관한죄","충남","2018 년","2",
"일수와 수리에 관한죄","충남","2019 년","2",
"일수와 수리에 관한죄","충남","2020 년","3",
"일수와 수리에 관한죄","전북","2014 년","-",
"일수와 수리에 관한죄","전북","2015 년","2",
"일수와 수리에 관한죄","전북","2016 년","1",
"일수와 수리에 관한죄","전북","2018 년","3",
"일수와 수리에 관한죄","전북","2019 년","1",
"일수와 수리에 관한죄","전북","2020 년","-",
"일수와 수리에 관한죄","전남","2014 년","1",
"일수와 수리에 관한죄","전남","2015 년","-",
"일수와 수리에 관한죄","전남","2016 년","-",
"일수와 수리에 관한죄","전남","2017 년","2",
"일수와 수리에 관한죄","전남","2018 년","-",
"일수와 수리에 관한죄","전남","2019 년","-",
"일수와 수리에 관한죄","전남","2020 년","1",
"일수와 수리에 관한죄","경북","2014 년","-",
"일수와 수리에 관한죄","경북","2015 년","1",
"일수와 수리에 관한죄","경북","2016 년","-",
"일수와 수리에 관한죄","경북","2017 년","1",
"일수와 수리에 관한죄","경북","2018 년","1",
"일수와 수리에 관한죄","경북","2019 년","-",
"일수와 수리에 관한죄","경북","2020 년","-",
"일수와 수리에 관한죄","경남","2014 년","-",
"일수와 수리에 관한죄","경남","2015 년","-",
"일수와 수리에 관한죄","경남","2016 년","-",
"일수와 수리에 관한죄","경남","2018 년","1",
"일수와 수리에 관한죄","경남","2019 년","3",
"일수와 수리에 관한죄","경남","2020 년","-",
"일수와 수리에 관한죄","제주","2014 년","-",
"일수와 수리에 관한죄","제주","2015 년","-",
"일수와 수리에 관한죄","제주","2016 년","-",
"일수와 수리에 관한죄","제주","2018 년","-",
"일수와 수리에 관한죄","제주","2019 년","-",
"일수와 수리에 관한죄","제주","2020 년","-",
"기타","계","2014 년","1883",
"기타","계","2015 년","612",
"기타","계","2016 년","46",
"기타","계","2017 년","45",
"기타","계","2018 년","53",
"기타","계","2019 년","56",
"기타","계","2020 년","48",
"기타","서울","2014 년","343",
"기타","서울","2015 년","131",
"기타","서울","2016 년","11",
"기타","서울","2017 년","19",
"기타","서울","2018 년","14",
"기타","서울","2019 년","34",
"기타","서울","2020 년","14",
"기타","부산","2014 년","148",
"기타","부산","2015 년","48",
"기타","부산","2016 년","5",
"기타","부산","2018 년","5",
"기타","부산","2019 년","1",
"기타","부산","2020 년","2",
"기타","대구","2014 년","83",
"기타","대구","2015 년","29",
"기타","대구","2016 년","3",
"기타","대구","2017 년","2",
"기타","대구","2018 년","1",
"기타","대구","2019 년","2",
"기타","대구","2020 년","2",
"기타","인천","2014 년","101",
"기타","인천","2015 년","37",
"기타","인천","2016 년","2",
"기타","인천","2017 년","1",
"기타","인천","2018 년","2",
"기타","인천","2019 년","-",
"기타","인천","2020 년","4",
"기타","광주","2014 년","75",
"기타","광주","2015 년","16",
"기타","광주","2016 년","2",
"기타","광주","2018 년","13",
"기타","광주","2019 년","3",
"기타","광주","2020 년","5",
"기타","대전","2014 년","47",
"기타","대전","2015 년","24",
"기타","대전","2016 년","2",
"기타","대전","2017 년","1",
"기타","대전","2018 년","-",
"기타","대전","2019 년","4",
"기타","대전","2020 년","1",
"기타","울산","2014 년","39",
"기타","울산","2015 년","10",
"기타","울산","2016 년","2",
"기타","울산","2018 년","-",
"기타","울산","2019 년","-",
"기타","울산","2020 년","-",
"기타","세종","2014 년","3",
"기타","세종","2015 년","1",
"기타","세종","2016 년","-",
"기타","세종","2018 년","-",
"기타","세종","2019 년","-",
"기타","세종","2020 년","-",
"기타","경기","2014 년","436",
"기타","경기","2015 년","120",
"기타","경기","2016 년","8",
"기타","경기","2017 년","7",
"기타","경기","2018 년","4",
"기타","경기","2019 년","6",
"기타","경기","2020 년","10",
"기타","강원","2014 년","49",
"기타","강원","2015 년","16",
"기타","강원","2016 년","-",
"기타","강원","2017 년","2",
"기타","강원","2018 년","2",
"기타","강원","2019 년","-",
"기타","강원","2020 년","1",
"기타","충북","2014 년","56",
"기타","충북","2015 년","13",
"기타","충북","2016 년","1",
"기타","충북","2017 년","3",
"기타","충북","2018 년","-",
"기타","충북","2019 년","2",
"기타","충북","2020 년","1",
"기타","충남","2014 년","105",
"기타","충남","2015 년","38",
"기타","충남","2016 년","1",
"기타","충남","2017 년","2",
"기타","충남","2018 년","2",
"기타","충남","2019 년","-",
"기타","충남","2020 년","-",
"기타","전북","2014 년","63",
"기타","전북","2015 년","22",
"기타","전북","2016 년","-",
"기타","전북","2018 년","2",
"기타","전북","2019 년","-",
"기타","전북","2020 년","3",
"기타","전남","2014 년","83",
"기타","전남","2015 년","25",
"기타","전남","2016 년","1",
"기타","전남","2017 년","1",
"기타","전남","2018 년","4",
"기타","전남","2019 년","1",
"기타","전남","2020 년","1",
"기타","경북","2014 년","103",
"기타","경북","2015 년","28",
"기타","경북","2016 년","1",
"기타","경북","2017 년","1",
"기타","경북","2018 년","1",
"기타","경북","2019 년","-",
"기타","경북","2020 년","4",
"기타","경남","2014 년","123",
"기타","경남","2015 년","44",
"기타","경남","2016 년","5",
"기타","경남","2017 년","6",
"기타","경남","2018 년","3",
"기타","경남","2019 년","3",
"기타","경남","2020 년","-",
"기타","제주","2014 년","26",
"기타","제주","2015 년","10",
"기타","제주","2016 년","2",
"기타","제주","2018 년","-",
"기타","제주","2019 년","-",
"기타","제주","2020 년","-",
"특별법범","계","2014 년","917626",
"특별법범","계","2015 년","972970",
"특별법범","계","2016 년","1002601",
"특별법범","계","2017 년","866011",
"특별법범","계","2018 년","749792",
"특별법범","계","2019 년","726289",
"특별법범","계","2020 년","670141",
"특별법범","서울","2014 년","152209",
"특별법범","서울","2015 년","149233",
"특별법범","서울","2016 년","146286",
"특별법범","서울","2017 년","138221",
"특별법범","서울","2018 년","127783",
"특별법범","서울","2019 년","120129",
"특별법범","서울","2020 년","106277",
"특별법범","부산","2014 년","66680",
"특별법범","부산","2015 년","74728",
"특별법범","부산","2016 년","67084",
"특별법범","부산","2017 년","55427",
"특별법범","부산","2018 년","50323",
"특별법범","부산","2019 년","47698",
"특별법범","부산","2020 년","43781",
"특별법범","대구","2014 년","54490",
"특별법범","대구","2015 년","56943",
"특별법범","대구","2016 년","48314",
"특별법범","대구","2017 년","39261",
"특별법범","대구","2018 년","35195",
"특별법범","대구","2019 년","33986",
"특별법범","대구","2020 년","30410",
"특별법범","인천","2014 년","52332",
"특별법범","인천","2015 년","54472",
"특별법범","인천","2016 년","52095",
"특별법범","인천","2017 년","46311",
"특별법범","인천","2018 년","35487",
"특별법범","인천","2019 년","37842",
"특별법범","인천","2020 년","35189",
"특별법범","광주","2014 년","35649",
"특별법범","광주","2015 년","33931",
"특별법범","광주","2016 년","31797",
"특별법범","광주","2017 년","28258",
"특별법범","광주","2018 년","23103",
"특별법범","광주","2019 년","22531",
"특별법범","광주","2020 년","20691",
"특별법범","대전","2014 년","19200",
"특별법범","대전","2015 년","19990",
"특별법범","대전","2016 년","21396",
"특별법범","대전","2017 년","21558",
"특별법범","대전","2018 년","18252",
"특별법범","대전","2019 년","17674",
"특별법범","대전","2020 년","16189",
"특별법범","울산","2014 년","22495",
"특별법범","울산","2015 년","19374",
"특별법범","울산","2016 년","15731",
"특별법범","울산","2017 년","13558",
"특별법범","울산","2018 년","11941",
"특별법범","울산","2019 년","12681",
"특별법범","울산","2020 년","11281",
"특별법범","세종","2014 년","1910",
"특별법범","세종","2015 년","1701",
"특별법범","세종","2016 년","2129",
"특별법범","세종","2017 년","2129",
"특별법범","세종","2018 년","2161",
"특별법범","세종","2019 년","2276",
"특별법범","세종","2020 년","2452",
"특별법범","경기","2014 년","217415",
"특별법범","경기","2015 년","233510",
"특별법범","경기","2016 년","289048",
"특별법범","경기","2017 년","234416",
"특별법범","경기","2018 년","194075",
"특별법범","경기","2019 년","184298",
"특별법범","경기","2020 년","173832",
"특별법범","강원","2014 년","30987",
"특별법범","강원","2015 년","34422",
"특별법범","강원","2016 년","35457",
"특별법범","강원","2017 년","30617",
"특별법범","강원","2018 년","25363",
"특별법범","강원","2019 년","24460",
"특별법범","강원","2020 년","23446",
"특별법범","충북","2014 년","27011",
"특별법범","충북","2015 년","28945",
"특별법범","충북","2016 년","33094",
"특별법범","충북","2017 년","29320",
"특별법범","충북","2018 년","25013",
"특별법범","충북","2019 년","23384",
"특별법범","충북","2020 년","21674",
"특별법범","충남","2014 년","38712",
"특별법범","충남","2015 년","42777",
"특별법범","충남","2016 년","40706",
"특별법범","충남","2017 년","36879",
"특별법범","충남","2018 년","35682",
"특별법범","충남","2019 년","33610",
"특별법범","충남","2020 년","31899",
"특별법범","전북","2014 년","31723",
"특별법범","전북","2015 년","31540",
"특별법범","전북","2016 년","30668",
"특별법범","전북","2017 년","28195",
"특별법범","전북","2018 년","25518",
"특별법범","전북","2019 년","26430",
"특별법범","전북","2020 년","23725",
"특별법범","전남","2014 년","38963",
"특별법범","전남","2015 년","44956",
"특별법범","전남","2016 년","42269",
"특별법범","전남","2017 년","35206",
"특별법범","전남","2018 년","33567",
"특별법범","전남","2019 년","35390",
"특별법범","전남","2020 년","34026",
"특별법범","경북","2014 년","51508",
"특별법범","경북","2015 년","54636",
"특별법범","경북","2016 년","51339",
"특별법범","경북","2017 년","46550",
"특별법범","경북","2018 년","42168",
"특별법범","경북","2019 년","39620",
"특별법범","경북","2020 년","36152",
"특별법범","경남","2014 년","61014",
"특별법범","경남","2015 년","73291",
"특별법범","경남","2016 년","75599",
"특별법범","경남","2017 년","62836",
"특별법범","경남","2018 년","51819",
"특별법범","경남","2019 년","53397",
"특별법범","경남","2020 년","48650",
"특별법범","제주","2014 년","15328",
"특별법범","제주","2015 년","18521",
"특별법범","제주","2016 년","19589",
"특별법범","제주","2017 년","17269",
"특별법범","제주","2018 년","12342",
"특별법범","제주","2019 년","10883",
"특별법범","제주","2020 년","10467",
"가정폭력 범죄의 처벌등에 관한 특례법","계","2014 년","184",
"가정폭력 범죄의 처벌등에 관한 특례법","계","2015 년","236",
"가정폭력 범죄의 처벌등에 관한 특례법","계","2016 년","210",
"가정폭력 범죄의 처벌등에 관한 특례법","계","2017 년","197",
"가정폭력 범죄의 처벌등에 관한 특례법","계","2018 년","361",
"가정폭력 범죄의 처벌등에 관한 특례법","계","2019 년","395",
"가정폭력 범죄의 처벌등에 관한 특례법","계","2020 년","402",
"가정폭력 범죄의 처벌등에 관한 특례법","서울","2014 년","27",
"가정폭력 범죄의 처벌등에 관한 특례법","서울","2015 년","32",
"가정폭력 범죄의 처벌등에 관한 특례법","서울","2016 년","23",
"가정폭력 범죄의 처벌등에 관한 특례법","서울","2017 년","25",
"가정폭력 범죄의 처벌등에 관한 특례법","서울","2018 년","75",
"가정폭력 범죄의 처벌등에 관한 특례법","서울","2019 년","79",
"가정폭력 범죄의 처벌등에 관한 특례법","서울","2020 년","96",
"가정폭력 범죄의 처벌등에 관한 특례법","부산","2014 년","9",
"가정폭력 범죄의 처벌등에 관한 특례법","부산","2015 년","5",
"가정폭력 범죄의 처벌등에 관한 특례법","부산","2016 년","2",
"가정폭력 범죄의 처벌등에 관한 특례법","부산","2017 년","2",
"가정폭력 범죄의 처벌등에 관한 특례법","부산","2018 년","20",
"가정폭력 범죄의 처벌등에 관한 특례법","부산","2019 년","7",
"가정폭력 범죄의 처벌등에 관한 특례법","부산","2020 년","14",
"가정폭력 범죄의 처벌등에 관한 특례법","대구","2014 년","7",
"가정폭력 범죄의 처벌등에 관한 특례법","대구","2015 년","21",
"가정폭력 범죄의 처벌등에 관한 특례법","대구","2016 년","37",
"가정폭력 범죄의 처벌등에 관한 특례법","대구","2017 년","29",
"가정폭력 범죄의 처벌등에 관한 특례법","대구","2018 년","68",
"가정폭력 범죄의 처벌등에 관한 특례법","대구","2019 년","67",
"가정폭력 범죄의 처벌등에 관한 특례법","대구","2020 년","47",
"가정폭력 범죄의 처벌등에 관한 특례법","인천","2014 년","1",
"가정폭력 범죄의 처벌등에 관한 특례법","인천","2015 년","6",
"가정폭력 범죄의 처벌등에 관한 특례법","인천","2016 년","12",
"가정폭력 범죄의 처벌등에 관한 특례법","인천","2017 년","10",
"가정폭력 범죄의 처벌등에 관한 특례법","인천","2018 년","17",
"가정폭력 범죄의 처벌등에 관한 특례법","인천","2019 년","27",
"가정폭력 범죄의 처벌등에 관한 특례법","인천","2020 년","19",
"가정폭력 범죄의 처벌등에 관한 특례법","광주","2014 년","43",
"가정폭력 범죄의 처벌등에 관한 특례법","광주","2015 년","30",
"가정폭력 범죄의 처벌등에 관한 특례법","광주","2016 년","19",
"가정폭력 범죄의 처벌등에 관한 특례법","광주","2017 년","17",
"가정폭력 범죄의 처벌등에 관한 특례법","광주","2018 년","14",
"가정폭력 범죄의 처벌등에 관한 특례법","광주","2019 년","14",
"가정폭력 범죄의 처벌등에 관한 특례법","광주","2020 년","8",
"가정폭력 범죄의 처벌등에 관한 특례법","대전","2014 년","14",
"가정폭력 범죄의 처벌등에 관한 특례법","대전","2015 년","12",
"가정폭력 범죄의 처벌등에 관한 특례법","대전","2016 년","7",
"가정폭력 범죄의 처벌등에 관한 특례법","대전","2017 년","4",
"가정폭력 범죄의 처벌등에 관한 특례법","대전","2018 년","8",
"가정폭력 범죄의 처벌등에 관한 특례법","대전","2019 년","20",
"가정폭력 범죄의 처벌등에 관한 특례법","대전","2020 년","16",
"가정폭력 범죄의 처벌등에 관한 특례법","울산","2014 년","6",
"가정폭력 범죄의 처벌등에 관한 특례법","울산","2015 년","1",
"가정폭력 범죄의 처벌등에 관한 특례법","울산","2016 년","4",
"가정폭력 범죄의 처벌등에 관한 특례법","울산","2017 년","7",
"가정폭력 범죄의 처벌등에 관한 특례법","울산","2018 년","4",
"가정폭력 범죄의 처벌등에 관한 특례법","울산","2019 년","1",
"가정폭력 범죄의 처벌등에 관한 특례법","울산","2020 년","11",
"가정폭력 범죄의 처벌등에 관한 특례법","세종","2014 년","1",
"가정폭력 범죄의 처벌등에 관한 특례법","세종","2015 년","-",
"가정폭력 범죄의 처벌등에 관한 특례법","세종","2016 년","1",
"가정폭력 범죄의 처벌등에 관한 특례법","세종","2017 년","3",
"가정폭력 범죄의 처벌등에 관한 특례법","세종","2018 년","2",
"가정폭력 범죄의 처벌등에 관한 특례법","세종","2019 년","2",
"가정폭력 범죄의 처벌등에 관한 특례법","세종","2020 년","2",
"가정폭력 범죄의 처벌등에 관한 특례법","경기","2014 년","18",
"가정폭력 범죄의 처벌등에 관한 특례법","경기","2015 년","56",
"가정폭력 범죄의 처벌등에 관한 특례법","경기","2016 년","46",
"가정폭력 범죄의 처벌등에 관한 특례법","경기","2017 년","52",
"가정폭력 범죄의 처벌등에 관한 특례법","경기","2018 년","72",
"가정폭력 범죄의 처벌등에 관한 특례법","경기","2019 년","99",
"가정폭력 범죄의 처벌등에 관한 특례법","경기","2020 년","93",
"가정폭력 범죄의 처벌등에 관한 특례법","강원","2014 년","3",
"가정폭력 범죄의 처벌등에 관한 특례법","강원","2015 년","6",
"가정폭력 범죄의 처벌등에 관한 특례법","강원","2016 년","4",
"가정폭력 범죄의 처벌등에 관한 특례법","강원","2017 년","4",
"가정폭력 범죄의 처벌등에 관한 특례법","강원","2018 년","6",
"가정폭력 범죄의 처벌등에 관한 특례법","강원","2019 년","6",
"가정폭력 범죄의 처벌등에 관한 특례법","강원","2020 년","11",
"가정폭력 범죄의 처벌등에 관한 특례법","충북","2014 년","13",
"가정폭력 범죄의 처벌등에 관한 특례법","충북","2015 년","12",
"가정폭력 범죄의 처벌등에 관한 특례법","충북","2016 년","6",
"가정폭력 범죄의 처벌등에 관한 특례법","충북","2017 년","9",
"가정폭력 범죄의 처벌등에 관한 특례법","충북","2018 년","8",
"가정폭력 범죄의 처벌등에 관한 특례법","충북","2019 년","15",
"가정폭력 범죄의 처벌등에 관한 특례법","충북","2020 년","7",
"가정폭력 범죄의 처벌등에 관한 특례법","충남","2014 년","18",
"가정폭력 범죄의 처벌등에 관한 특례법","충남","2015 년","20",
"가정폭력 범죄의 처벌등에 관한 특례법","충남","2016 년","11",
"가정폭력 범죄의 처벌등에 관한 특례법","충남","2017 년","11",
"가정폭력 범죄의 처벌등에 관한 특례법","충남","2018 년","26",
"가정폭력 범죄의 처벌등에 관한 특례법","충남","2019 년","10",
"가정폭력 범죄의 처벌등에 관한 특례법","충남","2020 년","25",
"가정폭력 범죄의 처벌등에 관한 특례법","전북","2014 년","8",
"가정폭력 범죄의 처벌등에 관한 특례법","전북","2015 년","9",
"가정폭력 범죄의 처벌등에 관한 특례법","전북","2016 년","5",
"가정폭력 범죄의 처벌등에 관한 특례법","전북","2017 년","2",
"가정폭력 범죄의 처벌등에 관한 특례법","전북","2018 년","4",
"가정폭력 범죄의 처벌등에 관한 특례법","전북","2019 년","6",
"가정폭력 범죄의 처벌등에 관한 특례법","전북","2020 년","5",
"가정폭력 범죄의 처벌등에 관한 특례법","전남","2014 년","6",
"가정폭력 범죄의 처벌등에 관한 특례법","전남","2015 년","8",
"가정폭력 범죄의 처벌등에 관한 특례법","전남","2016 년","3",
"가정폭력 범죄의 처벌등에 관한 특례법","전남","2017 년","2",
"가정폭력 범죄의 처벌등에 관한 특례법","전남","2018 년","11",
"가정폭력 범죄의 처벌등에 관한 특례법","전남","2019 년","18",
"가정폭력 범죄의 처벌등에 관한 특례법","전남","2020 년","20",
"가정폭력 범죄의 처벌등에 관한 특례법","경북","2014 년","4",
"가정폭력 범죄의 처벌등에 관한 특례법","경북","2015 년","9",
"가정폭력 범죄의 처벌등에 관한 특례법","경북","2016 년","19",
"가정폭력 범죄의 처벌등에 관한 특례법","경북","2017 년","4",
"가정폭력 범죄의 처벌등에 관한 특례법","경북","2018 년","7",
"가정폭력 범죄의 처벌등에 관한 특례법","경북","2019 년","7",
"가정폭력 범죄의 처벌등에 관한 특례법","경북","2020 년","11",
"가정폭력 범죄의 처벌등에 관한 특례법","경남","2014 년","3",
"가정폭력 범죄의 처벌등에 관한 특례법","경남","2015 년","9",
"가정폭력 범죄의 처벌등에 관한 특례법","경남","2016 년","5",
"가정폭력 범죄의 처벌등에 관한 특례법","경남","2017 년","14",
"가정폭력 범죄의 처벌등에 관한 특례법","경남","2018 년","14",
"가정폭력 범죄의 처벌등에 관한 특례법","경남","2019 년","16",
"가정폭력 범죄의 처벌등에 관한 특례법","경남","2020 년","16",
"가정폭력 범죄의 처벌등에 관한 특례법","제주","2014 년","3",
"가정폭력 범죄의 처벌등에 관한 특례법","제주","2015 년","-",
