"범죄별","발생지역별","시점","범죄발생지역",
"범죄발생총건수(A)","경북","2020 년","83790",
"범죄발생총건수(A)","경남","2014 년","121986",
"범죄발생총건수(A)","경남","2015 년","144936",
"범죄발생총건수(A)","경남","2016 년","143281",
"범죄발생총건수(A)","경남","2017 년","127294",
"범죄발생총건수(A)","경남","2018 년","117243",
"범죄발생총건수(A)","경남","2019 년","123992",
"범죄발생총건수(A)","경남","2020 년","123406",
"범죄발생총건수(A)","제주","2014 년","32233",
"범죄발생총건수(A)","제주","2015 년","35835",
"범죄발생총건수(A)","제주","2016 년","37402",
"범죄발생총건수(A)","제주","2017 년","34177",
"범죄발생총건수(A)","제주","2018 년","30106",
"범죄발생총건수(A)","제주","2019 년","28318",
"범죄발생총건수(A)","제주","2020 년","29296",
"인구(B)","계","2014 년","51327916",
"인구(B)","계","2015 년","51529338",
"인구(B)","계","2016 년","51696216",
"인구(B)","계","2017 년","51778544",
"인구(B)","계","2018 년","51826059",
"인구(B)","계","2019 년","51849861",
"인구(B)","계","2020 년","51829023",
"인구(B)","서울","2014 년","10103233",
"인구(B)","서울","2015 년","10022181",
"인구(B)","서울","2016 년","9930616",
"인구(B)","서울","2017 년","9857426",
"인구(B)","서울","2018 년","9765623",
"인구(B)","서울","2019 년","9729107",
"인구(B)","서울","2020 년","9668465",
"인구(B)","부산","2014 년","3519401",
"인구(B)","부산","2015 년","3513777",
"인구(B)","부산","2016 년","3498529",
"인구(B)","부산","2017 년","3470653",
"인구(B)","부산","2018 년","3441453",
"인구(B)","부산","2019 년","3413841",
"인구(B)","부산","2020 년","3391946",
"인구(B)","대구","2014 년","2493264",
"인구(B)","대구","2015 년","2487829",
"인구(B)","대구","2016 년","2484557",
"인구(B)","대구","2017 년","2475231",
"인구(B)","대구","2018 년","2461769",
"인구(B)","대구","2019 년","2438031",
"인구(B)","대구","2020 년","2418346",
"인구(B)","인천","2014 년","2902608",
"인구(B)","인천","2015 년","2925815",
"인구(B)","인천","2016 년","2943069",
"인구(B)","인천","2017 년","2948542",
"인구(B)","인천","2018 년","2954642",
"인구(B)","인천","2019 년","2957026",
"인구(B)","인천","2020 년","2942828",
"인구(B)","광주","2014 년","1475884",
"인구(B)","광주","2015 년","1472199",
"인구(B)","광주","2016 년","1469214",
"인구(B)","광주","2017 년","1463770",
"인구(B)","광주","2018 년","1459336",
"인구(B)","광주","2019 년","1456468",
"인구(B)","광주","2020 년","1450062",
"인구(B)","대전","2014 년","1531809",
"인구(B)","대전","2015 년","1518775",
